RestaurantName,PhoneNumber,ReviewCount,Rating,Price,Address,Longitude,Latitude,UrlLink,State,RefId
Joe's Pizza,(734) 213-5625,86,4.5,1,"['1107 S University Ave', 'Ann Arbor, MI 48104']",-83.73545,42.27522,https://www.yelp.com/biz/joes-pizza-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,s8x9YIRRASt8h_I41VzVCw
NeoPapalis,(734) 929-2227,313,4.5,1,"['500 E William St', 'Ann Arbor, MI 48104']",-83.7428818,42.2775307,https://www.yelp.com/biz/neopapalis-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,JXcDdqg4RZhSyr4ojCyY5A
Anthony's Gourmet Pizza,(734) 213-2500,85,4.5,2,"['1508 N Maple Rd', 'Ann Arbor, MI 48103']",-83.780918,42.29563,https://www.yelp.com/biz/anthonys-gourmet-pizza-ann-arbor-3?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,-h_zeuiMCWWkSIAyhw25EA
Pizza House,(734) 995-5095,441,3.5,2,"['618 Church St', 'Ann Arbor, MI 48104']",-83.7347695,42.2743456,https://www.yelp.com/biz/pizza-house-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,7sAcXreoQqyLdMnNPcr5hA
Buddy's Pizza - Ann Arbor,(734) 792-9130,144,4.0,2,"['3153 Ann Arbor-Saline Rd', 'Ann Arbor, MI 48103']",-83.768447405909,42.2407680879754,https://www.yelp.com/biz/buddys-pizza-ann-arbor-ann-arbor-2?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,3T0DimQdBFcaqfDzOvnSBg
Anthony's Gourmet Pizza,(734) 662-2500,33,4.0,2,"['1924 Packard St', 'Ann Arbor, MI 48104']",-83.7284164428711,42.2577972412109,https://www.yelp.com/biz/anthonys-gourmet-pizza-ann-arbor-4?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,lmLvzwceJK_4fI1MayBb4A
New York Pizza Depot,(734) 669-6973,290,3.5,1,"['605 E William St', 'Ann Arbor, MI 48104']",-83.7418160105149,42.2779624772776,https://www.yelp.com/biz/new-york-pizza-depot-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,KEbV_mwq3hO8ryxhUhJ9Eg
Bigalora Wood Fired Cucina,(734) 971-2442,355,3.5,2,"['3050 Washtenaw Ave', 'Ste 112', 'Ann Arbor, MI 48104']",-83.6992959,42.2573324,https://www.yelp.com/biz/bigalora-wood-fired-cucina-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,-h9tPzhgDVYbc1dF2dsKQw
Mani Osteria & Bar,(734) 769-6700,811,4.0,2,"['341 E Liberty St', 'Ann Arbor, MI 48104']",-83.744244702611,42.2795793749763,https://www.yelp.com/biz/mani-osteria-and-bar-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,4REtzXpQYy8dVev8RjWbSQ
Hello Faz Pizza,(734) 741-7777,99,4.0,1,"['2259 W Liberty St', 'Ann Arbor, MI 48103']",-83.777463,42.273701,https://www.yelp.com/biz/hello-faz-pizza-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,yn-wcQm-WFUO3ahLGYfprQ
Marcos Pizza,(734) 973-1750,33,4.0,1,"['4068 Packard St', 'Ann Arbor, MI 48108']",-83.678917,42.24531,https://www.yelp.com/biz/marcos-pizza-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,9Ej_Kt9dYkBX-FRBVtvjuA
Jet's Pizza,(734) 222-7544,36,3.0,2,"['3127 Oak Valley Dr', 'Ann Arbor, MI 48103']",-83.7699348609999,42.242235532977,https://www.yelp.com/biz/jets-pizza-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,lW8H1St3tZRz-Gj55Y8ArQ
Cottage Inn Pizza,(734) 769-5555,67,3.0,1,"['546 Packard St', 'Ann Arbor, MI 48104']",-83.74213,42.272,https://www.yelp.com/biz/cottage-inn-pizza-ann-arbor-18?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,jCxJCaONQyPbvsYdkqHRbg
Marco's Pizza,(734) 998-2600,19,3.5,1,"['1752 Plymouth Rd', 'Ann Arbor, MI 48105']",-83.7229559873176,42.2980592167723,https://www.yelp.com/biz/marcos-pizza-ann-arbor-4?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,SPCYh2_JYtJkReVJbMp2lA
Toarmina's Pizza,(734) 800-2424,9,3.0,0,"['2145 W Stadium Blvd Dr', 'Ann Arbor, MI 48103']",-83.77641,42.27252,https://www.yelp.com/biz/toarminas-pizza-ann-arbor-7?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,XOwwb90r-0eNnhyuKqx_fw
Hungry Howie's Pizza,(734) 999-4777,3,3.0,0,"['2026 W Stadium', 'Ann Arbor, MI 48103']",-83.77375,42.270927,https://www.yelp.com/biz/hungry-howies-pizza-ann-arbor-7?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,1P59uDuwZrB4pfrAsrfDfw
The Original Cottage Inn,(734) 663-3379,152,3.5,2,"['512 E William St', 'Ann Arbor, MI 48104']",-83.74266,42.27764,https://www.yelp.com/biz/the-original-cottage-inn-ann-arbor-2?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,Zdfe_wTw6KGOMOeKRq5WFg
Tippins Market,(734) 665-3690,44,4.5,2,"['4845 Ann Arbor Saline Rd', 'Ann Arbor, MI 48103']",-83.7966409,42.214255,https://www.yelp.com/biz/tippins-market-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,p4Nad3u6PD03cJEn8VtiEw
Mancino's,(734) 677-3655,48,3.5,1,"['2883 Carpenter Rd', 'Ann Arbor, MI 48108']",-83.6803284,42.2460518,https://www.yelp.com/biz/mancinos-ann-arbor-2?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,DR6KtooGCyz_5GjKwoYfeg
Pizza Bob's,(734) 665-4517,53,3.5,1,"['800 S State St', 'Ann Arbor, MI 48104']",-83.74087,42.27167,https://www.yelp.com/biz/pizza-bobs-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,GI86ah7SkyhlTumihQKqiw
The Original Buscemis,(734) 761-9814,8,3.0,0,"['695 S Maple Rd', 'Ann Arbor, MI 48103']",-83.77963,42.27393,https://www.yelp.com/biz/the-original-buscemis-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,pn86ENQj7abUQlOJpLh7nA
Cottage Inn Pizza,(734) 663-4500,18,3.0,2,"['2900 S State St', 'Ann Arbor, MI 48104']",-83.740747,42.24521902624321,https://www.yelp.com/biz/cottage-inn-pizza-ann-arbor-12?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,LpwQbu8GdngAETEe5wFcTQ
Jolly Pumpkin Cafe & Brewery,(734) 913-2730,905,4.0,2,"['311 S Main St', 'Ann Arbor, MI 48104']",-83.748462,42.279168,https://www.yelp.com/biz/jolly-pumpkin-cafe-and-brewery-ann-arbor-8?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,ZJVhCAjBeRlzLhgRVVJD5Q
Hungry Howie's Pizza,(734) 773-1010,6,4.0,0,"['3397 Plymouth Rd', 'Ann Arbor, MI 48105']",-83.694006,42.304847,https://www.yelp.com/biz/hungry-howies-pizza-ann-arbor-4?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,TWXeSWsM8WHFy7KGFlrzNQ
Jet's Pizza,(734) 332-1300,37,3.0,2,"['1749 Plymouth Rd', 'Ann Arbor Charter Township, MI 48105']",-83.721446210622,42.2983221380329,https://www.yelp.com/biz/jets-pizza-ann-arbor-charter-township?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,bUGQi68-IU9vqZXaZsHUqw
Blaze Pizza,(734) 773-3198,95,3.0,1,"['980A W Eisenhower Pkwy', 'Ann Arbor, MI 48103']",-83.758462,42.2464692,https://www.yelp.com/biz/blaze-pizza-ann-arbor-3?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,pP75sbN3b4wDegbIHSSruw
Toarmina’s Pizza & Burrito Joint,(734) 995-4040,42,3.0,1,"['1200 Packard St', 'Ann Arbor, MI 48104']",-83.7353534637543,42.2659173936917,https://www.yelp.com/biz/toarmina-s-pizza-and-burrito-joint-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,2-Klnu0o5D276s-0atsAcQ
Backroom Pizza,(734) 741-8296,43,3.5,1,"['605 Church St', 'Ann Arbor, MI 48104']",-83.73434,42.27469,https://www.yelp.com/biz/backroom-pizza-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,YlBtgemf7OsvQ3NxcRh2PQ
Little Caesars Pizza,(734) 665-8621,20,3.0,1,"['1944 W Stadium Blvd', 'Ann Arbor, MI 48103']",-83.77282,42.26999,https://www.yelp.com/biz/little-caesars-pizza-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,wno8WjG8pnWr8RZ3dNxpMg
Marco's Pizza,(734) 492-5900,2,4.0,0,"['3238 Ann Arbor Saline Rd', 'Ann Arbor, MI 48103']",-83.7700642,42.2403155,https://www.yelp.com/biz/marcos-pizza-ann-arbor-5?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,Yb36-uFrujmLQ2nAiXwkcw
Hungry Howie's Pizza,(734) 929-0072,17,2.5,2,"['3365 Washtenaw Ave', 'Unit J', 'Ann Arbor, MI 48104']",-83.692352,42.256783,https://www.yelp.com/biz/hungry-howies-pizza-ann-arbor-2?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,4HMm7ZGRaNlx0NMlbBRE0w
Domino's Pizza,(734) 332-1111,36,3.0,1,"['2282 S Main St', 'Ann Arbor, MI 48103']",-83.7498728,42.2519705,https://www.yelp.com/biz/dominos-pizza-ann-arbor-2?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,rGi3fTffF5i1IGyEics6QQ
Session Room,(734) 585-7300,132,3.5,2,"['3685 Jackson Rd', 'Ann Arbor, MI 48103']",-83.803674,42.28432,https://www.yelp.com/biz/session-room-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,KRJcVL3sa-37XiddZauNRQ
Little Caesars Pizza,(734) 971-0933,14,3.5,1,"['3000 Packard', 'Ann Arbor, MI 48108']",-83.69992,42.24455,https://www.yelp.com/biz/little-caesars-pizza-ann-arbor-5?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,MuLxhCf7inLyO3P_hUvTYQ
Dominick's,(734) 662-5414,210,3.5,2,"['812 Monroe St', 'Ann Arbor, MI 48104']",-83.73876,42.27313,https://www.yelp.com/biz/dominicks-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,76STjBw88WDHzfF2YLiJJw
California Pizza Kitchen at Briarwood,(734) 222-6320,91,3.5,2,"['870 Briarwood Cir', 'Ann Arbor, MI 48108']",-83.744902,42.24064,https://www.yelp.com/biz/california-pizza-kitchen-at-briarwood-ann-arbor-2?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,X63qh9pJRPsSRKmd_A8q8A
Cottage Inn Pizza,(734) 663-2822,41,2.5,2,"['2301 W Stadium Blvd', 'Ann Arbor, MI 48103']",-83.7782755330943,42.276077842145,https://www.yelp.com/biz/cottage-inn-pizza-ann-arbor-13?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,c_xCFVHOL4HZlJ5mMBInSQ
Stadium Market,(734) 761-9650,36,4.0,2,"['1423 E Stadium Blvd', 'Ann Arbor, MI 48113']",-83.73062,42.26111,https://www.yelp.com/biz/stadium-market-ann-arbor-4?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,EtjYm9PGiPZkdBA5mBCieA
Domino's Pizza,(734) 663-3333,30,3.0,1,"['2601 Plymouth Rd', 'Ann Arbor, MI 48105']",-83.7094062490622,42.3029138275637,https://www.yelp.com/biz/dominos-pizza-ann-arbor-9?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,a1S5zcbrp5sWz3aJdoK54w
Domino's Pizza,(734) 528-1111,10,3.5,1,"['4910 Washtenaw Ave', 'Ann Arbor, MI 48108']",-83.6627578735352,42.2501525878906,https://www.yelp.com/biz/dominos-pizza-ann-arbor-6?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,HEf_uhuwEdR6pVOHSaKzhg
Cottage Inn Pizza,(734) 995-9101,30,2.5,1,"['1141 Broadway St', 'Ann Arbor, MI 48105']",-83.7370508638063,42.2907283715655,https://www.yelp.com/biz/cottage-inn-pizza-ann-arbor-14?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,qXOVdBsytsVfVIXgYwz3Rg
Ann Arbor Fish & Chicken,(734) 544-1833,36,4.0,0,"['4872 Washtenaw Ave', 'Ann Arbor, MI 48108']",-83.6646645,42.2506884,https://www.yelp.com/biz/ann-arbor-fish-and-chicken-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,dtX1MT3m2gnLHPJVGFayZA
Domino's Pizza,(734) 769-4444,3,2.0,1,"['716 Packard St', 'Ann Arbor, MI 48104']",-83.7403999,42.2704499,https://www.yelp.com/biz/dominos-pizza-ann-arbor-10?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,4jDNfTFqVPPX0hNrAF3sFw
Stadium Deli & Wine Shop,(734) 662-2885,9,4.5,1,"['1956 S Industrial Hwy', 'Ann Arbor, MI 48104']",-83.7380524,42.258049,https://www.yelp.com/biz/stadium-deli-and-wine-shop-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,Wiry4DuTOnTR7H_G69MZFg
Domino's Farm Corporation,(734) 994-8751,2,4.0,0,"['24 Frank Lloyd Wright Dr', 'Ann Arbor, MI 48105']",-83.6829223632812,42.3180274963379,https://www.yelp.com/biz/dominos-farm-corporation-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,Duws05grC5gej1OFOQo4EA
Mr Spots,(734) 747-7768,109,4.0,1,"['808 S State St', 'Ann Arbor, MI 48104']",-83.7407532,42.2716217,https://www.yelp.com/biz/mr-spots-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,WQGUTUmR5uge1Z6PZYd4Rw
Benzina's Bistro Dukes Fried Chicken,(734) 528-4243,1,4.0,0,"['3150 W Michigan Ave', 'Ypsilanti, MI 48197']",-83.658675,42.221197,https://www.yelp.com/biz/benzinas-bistro-dukes-fried-chicken-ypsilanti?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,mdfXiPz9Blrge1KEgPFkoA
Brown Jug,(734) 761-3355,135,3.0,1,"['1204 S University Ave', 'Ann Arbor, MI 48104']",-83.7342834,42.2748299,https://www.yelp.com/biz/brown-jug-ann-arbor?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,QTP6pGpqQKg3Tm3wAcMKIg
Happy's Pizza,(734) 434-3333,31,2.0,1,"['2997 Washtenaw Ave', 'Ypsilanti, MI 48197']",-83.66072,42.249669,https://www.yelp.com/biz/happys-pizza-ypsilanti-2?adjust_creative=hBm365OOlIcFvEG_U-b9IQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hBm365OOlIcFvEG_U-b9IQ,MI,gh3o_DDXuS9S08LWRXrIZw
